iter	Passed	Remaining
0	59	59632
1	60	29978
2	60	20098
3	60	15154
4	61	12179
5	61	10194
6	61	8794
7	62	7738
8	62	6906
9	63	6247
10	63	5707
11	63	5254
12	64	4870
13	64	4542
14	64	4259
15	65	4010
16	65	3789
17	65	3594
18	66	3419
19	66	3259
20	66	3116
21	67	2985
22	67	2864
23	67	2753
24	68	2652
25	68	2561
26	68	2474
27	68	2393
28	69	2318
29	69	2247
30	69	2182
31	70	2121
32	70	2067
33	70	2014
34	71	1966
35	71	1919
36	72	1874
37	72	1831
38	72	1791
39	73	1754
40	73	1716
41	73	1680
42	73	1645
43	74	1613
44	74	1581
45	74	1551
46	75	1522
47	75	1495
48	75	1469
49	75	1443
50	76	1420
51	76	1397
52	76	1375
53	77	1353
54	77	1333
55	77	1312
56	78	1294
57	78	1275
58	78	1256
59	79	1241
60	79	1224
61	79	1207
62	80	1190
63	80	1174
64	80	1159
65	80	1145
66	81	1131
67	81	1114
68	81	1101
69	81	1088
70	82	1075
71	82	1063
72	82	1052
73	83	1040
74	83	1030
75	83	1019
76	84	1009
77	84	998
78	84	989
79	85	980
80	85	971
81	85	961
82	86	952
83	86	943
84	86	933
85	87	925
86	87	915
87	87	907
88	87	900
89	88	893
90	88	886
91	89	880
92	89	874
93	90	867
94	90	860
95	90	853
96	90	846
97	91	840
98	91	833
99	91	826
100	92	820
101	92	812
102	92	806
103	92	800
104	93	794
105	93	789
106	93	783
107	94	777
108	94	772
109	94	766
110	95	761
111	95	756
112	95	750
113	95	745
114	96	740
115	96	735
116	96	730
117	97	725
118	97	720
119	97	716
120	97	711
121	98	707
122	98	701
123	98	696
124	98	692
125	99	688
126	99	684
127	99	679
128	99	675
129	100	670
130	100	666
131	100	663
132	101	659
133	101	656
134	101	653
135	102	649
136	102	646
137	102	642
138	103	639
139	103	637
140	104	633
141	104	630
142	104	626
143	104	623
144	105	620
145	105	617
146	105	614
147	106	612
148	106	609
149	107	607
150	107	604
151	107	602
152	108	599
153	108	596
154	109	594
155	109	592
156	110	594
157	110	591
158	111	588
159	111	585
160	111	583
161	112	580
162	112	577
163	112	575
164	113	572
165	113	570
166	113	568
167	114	565
168	114	563
169	114	560
170	115	557
171	115	555
172	115	552
173	115	550
174	116	548
175	116	546
176	117	544
177	117	543
178	117	540
179	118	538
180	118	535
181	118	533
182	119	531
183	119	530
184	119	528
185	120	526
186	120	524
187	120	522
188	121	519
189	121	517
190	121	515
191	122	513
192	122	512
193	122	510
194	123	508
195	123	506
196	123	504
197	124	502
198	124	500
199	124	498
200	124	496
201	125	495
202	125	493
203	125	491
204	126	489
205	126	487
206	126	485
207	127	484
208	127	482
209	127	480
210	128	478
211	128	476
212	128	475
213	128	473
214	129	471
215	129	470
216	129	468
217	130	466
218	130	465
219	130	463
220	131	462
221	131	461
222	131	459
223	132	457
224	132	456
225	132	454
226	133	453
227	133	451
228	133	450
229	134	448
230	134	447
231	134	445
232	134	444
233	135	442
234	135	441
235	135	439
236	136	438
237	136	437
238	136	435
239	137	434
240	137	432
241	137	431
242	137	429
243	138	428
244	138	426
245	138	425
246	139	424
247	139	423
248	139	421
249	140	420
250	140	418
251	140	417
252	140	416
253	141	415
254	141	414
255	142	412
256	142	411
257	142	410
258	143	409
259	143	408
260	143	406
261	143	405
262	144	404
263	144	402
264	144	401
265	145	400
266	145	399
267	145	398
268	146	397
269	146	395
270	146	394
271	147	393
272	147	392
273	147	391
274	148	390
275	148	389
276	148	387
277	148	386
278	149	385
279	149	384
280	150	383
281	150	382
282	150	381
283	150	380
284	151	379
285	151	378
286	151	377
287	152	376
288	152	375
289	152	374
290	153	373
291	153	372
292	153	371
293	154	370
294	154	369
295	154	368
296	155	367
297	155	366
298	155	365
299	156	364
300	156	362
301	156	361
302	156	360
303	157	359
304	157	358
305	157	357
306	158	356
307	158	355
308	158	354
309	158	353
310	159	352
311	159	352
312	160	351
313	160	350
314	160	349
315	161	348
316	161	347
317	161	346
318	162	345
319	162	344
320	162	344
321	162	343
322	163	342
323	163	341
324	163	340
325	164	339
326	164	338
327	164	337
328	165	336
329	165	336
330	165	335
331	166	334
332	166	333
333	166	332
334	166	331
335	167	330
336	167	329
337	167	328
338	168	327
339	168	326
340	168	325
341	168	324
342	169	323
343	169	322
344	169	321
345	169	321
346	170	320
347	170	319
348	170	318
349	170	317
350	171	316
351	171	315
352	171	314
353	171	313
354	172	312
355	172	312
356	172	311
357	172	310
358	173	309
359	173	308
360	173	307
361	173	306
362	174	305
363	174	304
364	174	303
365	174	303
366	175	302
367	175	301
368	175	300
369	175	299
370	176	298
371	176	297
372	176	297
373	176	296
374	177	295
375	177	294
376	177	293
377	177	292
378	178	291
379	178	291
380	178	290
381	179	289
382	179	288
383	179	288
384	179	287
385	180	286
386	180	285
387	180	284
388	180	284
389	181	283
390	181	282
391	181	282
392	182	281
393	182	280
394	182	279
395	182	279
396	183	278
397	183	277
398	183	276
399	184	276
400	184	275
401	184	274
402	184	273
403	185	272
404	185	272
405	185	271
406	185	270
407	186	269
408	186	269
409	186	268
410	186	267
411	187	266
412	187	266
413	187	265
414	187	264
415	188	264
416	188	263
417	188	262
418	188	261
419	189	261
420	189	260
421	189	259
422	189	258
423	190	258
424	190	257
425	190	256
426	190	256
427	191	255
428	191	254
429	191	253
430	191	253
431	192	252
432	192	251
433	192	251
434	192	250
435	193	249
436	193	249
437	193	248
438	193	247
439	194	247
440	194	246
441	194	245
442	194	245
443	195	244
444	195	243
445	195	243
446	196	242
447	196	241
448	196	241
449	196	240
450	197	240
451	197	239
452	197	238
453	198	238
454	198	237
455	198	236
456	198	236
457	199	235
458	199	235
459	199	234
460	199	233
461	200	233
462	200	232
463	200	231
464	201	231
465	201	230
466	201	230
467	201	229
468	202	228
469	202	228
470	202	227
471	202	226
472	203	226
473	203	225
474	203	224
475	203	224
476	204	223
477	204	223
478	204	222
479	204	221
480	205	221
481	205	220
482	205	220
483	205	219
484	206	218
485	206	218
486	206	217
487	206	216
488	207	216
489	207	215
490	207	215
491	207	214
492	208	213
493	208	213
494	208	212
495	208	212
496	209	211
497	209	211
498	209	210
499	209	209
500	210	209
501	210	208
502	210	208
503	210	207
504	211	206
505	211	206
506	211	205
507	211	205
508	212	204
509	212	204
510	212	203
511	212	203
512	213	202
513	213	201
514	213	201
515	214	200
516	214	200
517	214	199
518	214	199
519	215	198
520	215	197
521	215	197
522	215	196
523	216	196
524	216	195
525	216	195
526	216	194
527	217	194
528	217	193
529	217	192
530	217	192
531	218	191
532	218	191
533	218	190
534	218	190
535	219	189
536	219	189
537	219	188
538	219	187
539	220	187
540	220	186
541	220	186
542	220	185
543	221	185
544	221	184
545	221	184
546	221	183
547	222	183
548	222	182
549	222	182
550	222	181
551	223	181
552	223	180
553	223	180
554	223	179
555	224	179
556	224	178
557	224	177
558	224	177
559	225	176
560	225	176
561	225	175
562	225	175
563	226	174
564	226	174
565	226	173
566	227	173
567	227	172
568	227	172
569	227	171
570	228	171
571	228	170
572	228	170
573	228	169
574	229	169
575	229	168
576	229	168
577	229	167
578	230	167
579	230	166
580	230	166
581	230	165
582	231	165
583	231	164
584	231	164
585	231	163
586	232	163
587	232	162
588	232	162
589	232	161
590	233	161
591	233	160
592	233	160
593	233	159
594	234	159
595	234	158
596	234	158
597	234	157
598	235	157
599	235	156
600	235	156
601	235	156
602	236	155
603	236	155
604	236	154
605	236	154
606	237	153
607	237	153
608	237	152
609	237	152
610	238	151
611	238	151
612	238	150
613	238	150
614	239	149
615	239	149
616	239	148
617	239	148
618	240	147
619	240	147
620	240	146
621	240	146
622	241	145
623	241	145
624	241	145
625	242	144
626	242	144
627	242	143
628	242	143
629	243	142
630	243	142
631	243	141
632	243	141
633	244	141
634	244	140
635	244	140
636	244	139
637	245	139
638	245	138
639	245	138
640	246	137
641	246	137
642	246	136
643	246	136
644	247	135
645	247	135
646	247	135
647	247	134
648	248	134
649	248	133
650	248	133
651	248	132
652	249	132
653	249	131
654	249	131
655	249	131
656	250	130
657	250	130
658	250	129
659	250	129
660	251	128
661	251	128
662	251	127
663	251	127
664	252	127
665	252	126
666	252	126
667	253	125
668	253	125
669	253	124
670	253	124
671	254	123
672	254	123
673	254	123
674	254	122
675	255	122
676	255	121
677	255	121
678	255	120
679	256	120
680	256	120
681	256	119
682	257	119
683	257	118
684	257	118
685	258	118
686	258	117
687	258	117
688	258	116
689	259	116
690	259	116
691	259	115
692	260	115
693	260	114
694	260	114
695	260	113
696	261	113
697	261	113
698	261	112
699	261	112
700	262	111
701	262	111
702	263	111
703	263	110
704	263	110
705	263	109
706	264	109
707	264	109
708	264	108
709	265	108
710	265	107
711	265	107
712	265	107
713	266	106
714	266	106
715	266	105
716	266	105
717	267	104
718	267	104
719	267	104
720	267	103
721	268	103
722	268	102
723	268	102
724	268	101
725	269	101
726	269	101
727	269	100
728	269	100
729	269	99
730	270	99
731	270	99
732	270	98
733	270	98
734	271	97
735	271	97
736	271	96
737	271	96
738	272	96
739	272	95
740	272	95
741	272	94
742	273	94
743	273	94
744	273	93
745	273	93
746	274	92
747	274	92
748	274	92
749	274	91
750	275	91
751	275	90
752	275	90
753	276	90
754	276	89
755	276	89
756	276	88
757	277	88
758	277	88
759	277	87
760	277	87
761	278	86
762	278	86
763	278	86
764	278	85
765	279	85
766	279	84
767	279	84
768	280	84
769	280	83
770	280	83
771	280	82
772	281	82
773	281	82
774	281	81
775	281	81
776	282	80
777	282	80
778	282	80
779	282	79
780	283	79
781	283	78
782	283	78
783	283	78
784	284	77
785	284	77
786	284	77
787	284	76
788	285	76
789	285	75
790	285	75
791	286	75
792	286	74
793	286	74
794	286	73
795	287	73
796	287	73
797	287	72
798	287	72
799	288	72
800	288	71
801	288	71
802	288	70
803	289	70
804	289	70
805	289	69
806	290	69
807	290	68
808	290	68
809	290	68
810	291	67
811	291	67
812	291	67
813	291	66
814	292	66
815	292	65
816	292	65
817	293	65
818	293	64
819	293	64
820	293	64
821	294	63
822	294	63
823	294	62
824	294	62
825	295	62
826	295	61
827	295	61
828	296	61
829	296	60
830	296	60
831	296	59
832	297	59
833	297	59
834	297	58
835	298	58
836	298	58
837	298	57
838	298	57
839	299	56
840	299	56
841	299	56
842	299	55
843	300	55
844	300	55
845	300	54
846	300	54
847	301	53
848	301	53
849	301	53
850	301	52
851	302	52
852	302	52
853	302	51
854	302	51
855	303	51
856	303	50
857	303	50
858	303	49
859	304	49
860	304	49
861	304	48
862	305	48
863	305	48
864	305	47
865	305	47
866	306	46
867	306	46
868	306	46
869	306	45
870	307	45
871	307	45
872	307	44
873	307	44
874	308	44
875	308	43
876	308	43
877	309	42
878	309	42
879	309	42
880	309	41
881	310	41
882	310	41
883	310	40
884	310	40
885	311	40
886	311	39
887	311	39
888	311	38
889	312	38
890	312	38
891	312	37
892	312	37
893	313	37
894	313	36
895	313	36
896	313	36
897	314	35
898	314	35
899	314	34
900	314	34
901	315	34
902	315	33
903	315	33
904	315	33
905	316	32
906	316	32
907	316	32
908	316	31
909	317	31
910	317	31
911	317	30
912	317	30
913	318	29
914	318	29
915	318	29
916	318	28
917	319	28
918	319	28
919	319	27
920	319	27
921	320	27
922	320	26
923	320	26
924	321	26
925	321	25
926	321	25
927	321	24
928	322	24
929	322	24
930	322	23
931	323	23
932	323	23
933	323	22
934	323	22
935	324	22
936	324	21
937	324	21
938	324	21
939	325	20
940	325	20
941	325	20
942	325	19
943	326	19
944	326	18
945	326	18
946	326	18
947	327	17
948	327	17
949	327	17
950	327	16
951	328	16
952	328	16
953	328	15
954	328	15
955	329	15
956	329	14
957	329	14
958	329	14
959	330	13
960	330	13
961	330	13
962	330	12
963	331	12
964	331	12
965	331	11
966	332	11
967	332	10
968	332	10
969	332	10
970	332	9
971	333	9
972	333	9
973	333	8
974	334	8
975	334	8
976	334	7
977	334	7
978	335	7
979	335	6
980	335	6
981	335	6
982	336	5
983	336	5
984	336	5
985	336	4
986	337	4
987	337	4
988	337	3
989	338	3
990	338	3
991	338	2
992	338	2
993	339	2
994	339	1
995	339	1
996	339	1
997	340	0
998	340	0
999	340	0
