iter	Passed	Remaining
0	62	62109
1	63	31450
2	63	21105
3	64	15943
4	64	12867
5	65	10807
6	65	9339
7	66	8238
8	66	7366
9	67	6665
10	67	6096
11	68	5626
12	68	5221
13	69	4889
14	70	4599
15	70	4335
16	71	4108
17	72	3928
18	72	3753
19	73	3583
20	73	3428
21	73	3289
22	74	3165
23	75	3057
24	75	2947
25	76	2850
26	76	2763
27	77	2676
28	77	2595
29	78	2527
30	78	2453
31	78	2384
32	79	2322
33	79	2265
34	80	2212
35	80	2160
36	81	2113
37	81	2067
38	82	2022
39	82	1980
40	83	1945
41	83	1912
42	84	1876
43	84	1841
44	85	1808
45	85	1775
46	86	1745
47	86	1716
48	87	1690
49	87	1669
50	88	1642
51	88	1617
52	89	1598
53	89	1574
54	90	1557
55	91	1539
56	91	1517
57	92	1499
58	92	1482
59	93	1462
60	93	1443
61	94	1424
62	94	1405
63	94	1387
64	95	1370
65	95	1355
66	96	1340
67	96	1324
68	97	1309
69	97	1294
70	97	1281
71	98	1267
72	98	1253
73	99	1240
74	99	1227
75	99	1214
76	100	1202
77	100	1191
78	101	1179
79	101	1169
80	102	1158
81	103	1153
82	103	1140
83	103	1130
84	104	1121
85	104	1111
86	105	1102
87	105	1093
88	106	1088
89	106	1081
90	107	1073
91	108	1066
92	108	1057
93	108	1049
94	109	1042
95	110	1036
96	110	1028
97	110	1020
98	111	1012
99	111	1004
100	112	998
101	112	991
102	113	985
103	113	979
104	114	972
105	114	965
106	114	958
107	115	952
108	115	947
109	116	940
110	116	933
111	116	927
112	117	920
113	117	915
114	118	912
115	118	905
116	119	900
117	119	894
118	120	889
119	120	885
120	121	881
121	121	875
122	122	869
123	122	864
124	122	859
125	123	854
126	123	848
127	123	843
128	124	838
129	124	833
130	124	829
131	125	824
132	125	819
133	126	815
134	126	811
135	127	809
136	128	807
137	128	803
138	129	799
139	129	795
140	130	792
141	130	788
142	131	786
143	131	782
144	132	780
145	132	777
146	133	773
147	133	769
148	133	765
149	134	762
150	135	760
151	135	756
152	135	752
153	136	748
154	136	745
155	137	741
156	137	738
157	138	736
158	138	734
159	139	731
160	139	727
161	140	725
162	140	723
163	141	721
164	142	718
165	142	715
166	143	714
167	143	712
168	144	709
169	144	706
170	145	703
171	145	701
172	146	698
173	146	695
174	147	693
175	147	691
176	148	690
177	148	687
178	149	685
179	149	682
180	150	680
181	150	677
182	151	675
183	151	672
184	152	670
185	152	667
186	152	664
187	153	662
188	153	659
189	154	657
190	154	655
191	155	653
192	155	651
193	156	648
194	156	646
195	156	643
196	157	641
197	157	639
198	158	637
199	158	634
200	159	632
201	159	630
202	160	628
203	160	626
204	161	624
205	161	622
206	162	620
207	162	618
208	162	616
209	163	615
210	164	614
211	164	612
212	165	611
213	165	609
214	166	607
215	166	605
216	167	603
217	167	601
218	168	599
219	168	597
220	168	595
221	169	593
222	169	591
223	170	589
224	170	588
225	171	586
226	171	584
227	172	582
228	173	583
229	173	582
230	174	580
231	174	578
232	175	577
233	175	575
234	176	573
235	176	571
236	177	570
237	178	570
238	178	569
239	179	569
240	180	568
241	180	566
242	181	565
243	181	563
244	182	561
245	182	559
246	183	558
247	183	556
248	183	554
249	184	552
250	184	551
251	185	549
252	185	548
253	186	546
254	186	545
255	186	543
256	187	542
257	187	540
258	188	538
259	188	537
260	189	535
261	189	534
262	190	532
263	190	531
264	191	529
265	191	528
266	191	526
267	192	525
268	192	523
269	193	522
270	193	520
271	194	519
272	194	517
273	194	516
274	195	515
275	195	513
276	196	512
277	196	510
278	197	509
279	197	507
280	197	506
281	198	504
282	198	503
283	199	502
284	199	500
285	200	499
286	200	497
287	200	496
288	201	494
289	201	493
290	201	491
291	202	490
292	202	489
293	203	488
294	203	486
295	204	485
296	205	487
297	206	485
298	206	484
299	207	483
300	207	481
301	207	480
302	208	478
303	208	477
304	208	475
305	209	474
306	209	473
307	210	471
308	210	470
309	211	469
310	211	468
311	212	467
312	212	466
313	212	464
314	213	463
315	213	462
316	213	460
317	214	459
318	214	458
319	215	457
320	215	456
321	216	455
322	216	453
323	217	452
324	217	452
325	218	450
326	218	449
327	218	448
328	219	447
329	219	446
330	220	445
331	220	444
332	221	443
333	221	442
334	222	441
335	222	440
336	223	439
337	223	437
338	224	436
339	224	435
340	224	434
341	225	433
342	225	432
343	226	431
344	226	430
345	227	429
346	227	428
347	227	427
348	228	425
349	228	424
350	228	423
351	229	422
352	229	421
353	230	420
354	230	418
355	230	417
356	231	416
357	231	415
358	232	414
359	232	413
360	233	412
361	233	411
362	234	410
363	234	410
364	235	409
365	235	408
366	236	407
367	236	406
368	237	405
369	237	404
370	238	404
371	238	403
372	239	402
373	239	401
374	240	400
375	240	399
376	241	398
377	241	397
378	241	396
379	242	395
380	242	394
381	243	393
382	243	392
383	243	391
384	244	390
385	244	388
386	244	387
387	245	386
388	245	385
389	245	384
390	246	383
391	246	382
392	246	381
393	247	380
394	247	379
395	248	378
396	248	377
397	249	376
398	249	376
399	250	375
400	250	374
401	250	373
402	251	372
403	252	371
404	252	370
405	252	369
406	253	368
407	253	368
408	254	367
409	254	366
410	254	365
411	255	364
412	255	363
413	255	362
414	256	361
415	256	360
416	257	359
417	257	358
418	258	357
419	258	356
420	258	356
421	259	355
422	259	354
423	260	353
424	260	352
425	261	351
426	261	350
427	261	349
428	262	349
429	262	348
430	263	347
431	263	346
432	264	345
433	264	344
434	264	344
435	265	343
436	265	342
437	266	341
438	266	340
439	266	339
440	267	338
441	267	338
442	268	337
443	268	336
444	269	335
445	269	335
446	270	334
447	270	333
448	270	332
449	271	331
450	271	331
451	272	330
452	272	329
453	273	328
454	273	327
455	274	327
456	274	326
457	275	325
458	275	324
459	275	323
460	276	323
461	276	322
462	277	321
463	277	320
464	277	319
465	278	318
466	278	318
467	279	317
468	279	316
469	280	315
470	280	315
471	281	314
472	281	313
473	281	312
474	282	312
475	282	311
476	283	310
477	283	309
478	284	309
479	284	308
480	285	307
481	285	306
482	285	305
483	286	305
484	286	304
485	287	303
486	287	303
487	288	302
488	288	301
489	288	300
490	289	300
491	289	299
492	290	298
493	290	297
494	291	296
495	291	296
496	291	295
497	292	294
498	292	293
499	292	292
500	293	292
501	293	291
502	294	290
503	294	290
504	295	289
505	295	288
506	296	287
507	296	287
508	296	286
509	297	285
510	297	284
511	298	284
512	298	283
513	299	282
514	299	282
515	300	281
516	300	280
517	300	280
518	301	279
519	301	278
520	301	277
521	302	276
522	302	276
523	303	275
524	303	274
525	304	274
526	304	273
527	305	272
528	305	272
529	305	271
530	306	270
531	306	269
532	307	269
533	307	268
534	307	267
535	308	266
536	308	266
537	309	265
538	309	264
539	309	264
540	310	263
541	310	262
542	311	261
543	311	261
544	311	260
545	312	259
546	312	259
547	313	258
548	313	257
549	314	256
550	314	256
551	314	255
552	315	254
553	315	254
554	316	253
555	316	252
556	317	252
557	318	251
558	318	251
559	318	250
560	319	249
561	319	249
562	320	248
563	320	247
564	321	247
565	321	246
566	321	245
567	322	245
568	322	244
569	323	243
570	323	243
571	323	242
572	324	241
573	324	240
574	325	240
575	325	239
576	325	238
577	326	238
578	326	237
579	327	236
580	327	236
581	327	235
582	328	234
583	328	234
584	329	233
585	329	232
586	329	232
587	330	231
588	330	230
589	331	230
590	331	229
591	331	228
592	332	228
593	332	227
594	333	226
595	333	226
596	333	225
597	334	224
598	334	224
599	335	223
600	335	222
601	335	222
602	336	221
603	336	220
604	337	220
605	337	219
606	337	218
607	338	217
608	338	217
609	339	216
610	339	216
611	340	215
612	340	214
613	341	214
614	341	213
615	341	213
616	342	212
617	342	211
618	343	211
619	343	210
620	344	209
621	344	209
622	344	208
623	345	208
624	345	207
625	346	206
626	346	206
627	346	205
628	347	204
629	347	204
630	348	203
631	348	203
632	349	202
633	349	201
634	350	201
635	350	200
636	351	200
637	351	199
638	352	199
639	352	198
640	353	197
641	353	197
642	354	196
643	354	195
644	354	195
645	355	194
646	355	194
647	355	193
648	356	192
649	356	192
650	357	191
651	357	190
652	357	190
653	357	189
654	358	188
655	358	188
656	359	187
657	359	186
658	360	186
659	360	185
660	361	185
661	361	184
662	362	184
663	362	183
664	363	182
665	363	182
666	363	181
667	364	180
668	364	180
669	365	179
670	365	179
671	366	178
672	366	178
673	367	177
674	367	177
675	368	176
676	368	175
677	369	175
678	369	174
679	369	174
680	370	173
681	371	173
682	371	172
683	372	171
684	372	171
685	373	170
686	373	170
687	374	169
688	374	169
689	374	168
690	375	167
691	375	167
692	376	166
693	376	166
694	376	165
695	377	164
696	377	164
697	378	163
698	378	163
699	379	162
700	379	161
701	379	161
702	380	160
703	380	160
704	381	159
705	381	158
706	381	158
707	382	157
708	383	157
709	383	156
710	383	156
711	384	155
712	384	154
713	385	154
714	385	153
715	386	153
716	386	152
717	387	152
718	387	151
719	388	150
720	388	150
721	389	149
722	389	149
723	389	148
724	390	148
725	390	147
726	391	146
727	391	146
728	392	145
729	392	145
730	392	144
731	393	143
732	393	143
733	394	142
734	394	142
735	394	141
736	395	141
737	395	140
738	396	139
739	396	139
740	397	138
741	397	138
742	398	137
743	398	137
744	399	136
745	399	136
746	400	135
747	400	135
748	401	134
749	401	133
750	401	133
751	402	132
752	402	132
753	403	131
754	403	130
755	404	130
756	404	129
757	405	129
758	405	128
759	406	128
760	406	127
761	406	127
762	407	126
763	407	125
764	408	125
765	408	124
766	409	124
767	409	123
768	410	123
769	410	122
770	410	122
771	411	121
